UsageScore,TrustScore,FrustrationScore,UsageFreq,AgentDepth,AIModelCount,WorkflowIntegration,ProblemCount,ThreatLevel,DevEnvToolCount,WorkExpNum,ParadoxLabel,Cluster
10.0,8.333333333333332,20.0,1,1,0,0.0,2,0.0,1,7.0,0,3
56.25,75.0,55.00000000000001,5,3,4,2.5,3,0.5,5,26.0,0,1
60.0,33.33333333333333,10.0,5,0,9,5.0,1,0.0,6,7.0,1,0
5.0,0.0,20.0,1,0,0,0.0,2,0.0,4,18.0,0,3
47.5,83.33333333333334,10.0,5,0,6,3.0,1,0.0,2,11.0,0,2
12.5,16.666666666666664,80.0,0,0,5,0.0,3,1.0,7,18.0,0,3
72.50000000000001,50.0,45.0,5,5,2,7.0,2,0.5,3,4.0,1,0
70.0,66.66666666666666,10.0,5,5,5,3.0,1,0.0,7,32.0,0,0
68.75,58.333333333333336,10.0,5,1,7,8.5,1,0.0,6,22.0,0,0
80.0,83.33333333333334,20.0,5,5,6,6.0,2,0.0,8,15.0,0,0
50.0,58.333333333333336,45.0,4,4,1,3.0,2,0.5,2,20.0,0,1
30.0,25.0,20.0,3,3,0,0.0,2,0.0,1,20.0,0,3
50.0,58.333333333333336,20.0,5,1,8,0.0,2,0.0,7,1.0,0,0
21.250000000000004,75.0,20.0,4,0,0,0.5,2,0.0,5,8.0,0,2
27.500000000000004,75.0,10.0,4,0,0,3.0,1,0.0,3,25.0,0,2
64.99999999999999,75.0,80.0,5,1,7,7.0,3,1.0,2,5.0,0,1
27.500000000000004,75.0,45.0,4,0,3,0.0,2,0.5,3,4.0,0,1
72.5,66.66666666666666,45.0,5,4,7,4.0,2,0.5,6,7.0,0,0
63.75000000000001,83.33333333333334,10.0,5,4,3,4.5,1,0.0,4,25.0,0,0
30.0,83.33333333333334,25.0,5,0,0,2.0,0,0.5,0,11.0,0,2
35.0,75.0,35.0,5,1,2,0.0,1,0.5,2,5.0,0,2
41.25,83.33333333333334,20.0,5,3,0,0.5,2,0.0,0,10.0,0,2
42.50000000000001,66.66666666666666,10.0,4,4,1,0.0,1,0.0,7,12.0,0,2
5.0,25.0,30.0,1,0,0,0.0,3,0.0,5,6.0,0,3
53.75,75.0,60.0,5,1,7,2.5,1,1.0,4,35.0,0,1
23.75,33.33333333333333,20.0,3,1,0,1.5,2,0.0,3,18.0,0,3
21.250000000000004,41.66666666666667,45.0,3,0,2,0.5,2,0.5,0,20.0,0,3
35.0,33.33333333333333,10.0,5,1,0,2.0,1,0.0,1,2.0,0,2
5.0,8.333333333333332,65.0,1,0,0,0.0,4,0.5,0,12.0,0,3
43.75,25.0,45.0,3,4,1,2.5,2,0.5,3,3.0,1,1
36.25,66.66666666666666,10.0,3,3,1,1.5,1,0.0,6,1.0,0,2
76.25,75.0,45.0,5,5,3,7.5,2,0.5,4,27.0,0,0
37.5,41.66666666666667,10.0,5,0,3,2.0,1,0.0,1,17.0,0,2
35.0,83.33333333333334,10.0,5,0,0,4.0,1,0.0,4,18.0,0,2
5.0,0.0,30.0,1,0,0,0.0,3,0.0,4,20.0,0,3
7.500000000000001,8.333333333333332,30.0,1,0,0,1.0,3,0.0,3,3.0,0,3
65.0,75.0,10.0,5,5,0,6.0,1,0.0,5,16.0,0,0
32.5,58.333333333333336,45.0,5,1,0,1.0,2,0.5,0,7.0,0,1
58.75,91.66666666666666,10.0,5,5,1,2.5,1,0.0,3,30.0,0,2
53.75,41.66666666666667,20.0,5,4,0,3.5,2,0.0,0,22.0,1,2
15.0,8.333333333333332,10.0,3,0,0,0.0,1,0.0,5,15.0,0,3
37.5,33.33333333333333,10.0,5,0,0,5.0,1,0.0,1,11.0,0,2
25.0,33.33333333333333,10.0,5,0,0,0.0,1,0.0,2,4.0,0,2
36.25,41.66666666666667,20.0,5,0,0,4.5,2,0.0,4,25.0,0,2
25.0,16.666666666666664,10.0,4,1,0,0.0,1,0.0,1,41.0,0,3
30.0,41.66666666666667,10.0,4,1,0,2.0,1,0.0,3,30.0,0,2
33.75,33.33333333333333,20.0,4,0,5,0.5,2,0.0,4,4.0,0,2
26.25,75.0,60.0,5,0,0,0.5,1,1.0,0,23.0,0,1
73.75,66.66666666666666,20.0,5,5,4,5.5,2,0.0,5,30.0,0,0
67.5,75.0,20.0,5,4,4,5.0,2,0.0,5,4.0,0,0
26.25,33.33333333333333,10.0,4,0,0,2.5,1,0.0,4,29.0,0,2
47.5,50.0,10.0,5,3,0,3.0,1,0.0,2,36.0,1,2
15.000000000000002,50.0,20.0,1,0,1,3.0,2,0.0,0,2.0,0,3
23.75,66.66666666666666,55.00000000000001,4,0,1,0.5,3,0.5,2,12.0,0,1
25.0,75.0,25.0,5,0,0,0.0,0,0.5,0,7.0,0,2
53.75,50.0,25.0,5,1,7,2.5,0,0.5,3,4.0,1,2
20.0,50.0,10.0,4,0,0,0.0,1,0.0,0,20.0,0,2
15.000000000000002,50.0,10.0,2,1,0,0.0,1,0.0,0,42.0,0,3
56.25,75.0,10.0,5,5,0,2.5,1,0.0,0,4.0,0,2
56.25,66.66666666666666,20.0,5,5,0,2.5,2,0.0,3,4.0,0,2
46.25,25.0,10.0,4,4,1,1.5,1,0.0,2,3.0,1,2
65.0,75.0,45.0,5,5,1,5.0,2,0.5,6,35.0,0,0
20.0,58.333333333333336,0.0,4,0,0,0.0,0,0.0,0,3.0,0,2
25.0,25.0,35.0,4,0,0,2.0,1,0.5,4,1.0,0,3
5.0,0.0,40.0,1,0,0,0.0,4,0.0,0,25.0,0,3
