DevType,Country,RemoteWork,DeveloperCount,AvgWorkExperience,AvgFrustration,AvgAgentAdoption
"Developer, full-stack",United States of America,Remote,318,15.085173501577287,1.8459119496855345,1.5125786163522013
"Developer, back-end",United States of America,Remote,162,15.950310559006212,1.882716049382716,1.8024691358024691
"Developer, full-stack",United States of America,"Hybrid (some remote, leans heavy to in-person)",101,12.445544554455445,1.7425742574257426,1.99009900990099
"Developer, full-stack",United States of America,In-person,93,9.2,1.924731182795699,1.3118279569892473
"Developer, full-stack",United States of America,"Hybrid (some in-person, leans heavy to flexibility)",88,13.659090909090908,1.9772727272727273,1.6022727272727273
"Developer, full-stack",Germany,Remote,74,14.534246575342467,2.0,1.6216216216216217
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,Remote,68,16.264705882352942,1.8088235294117647,1.6176470588235294
"Developer, full-stack",Germany,"Hybrid (some remote, leans heavy to in-person)",68,7.9411764705882355,2.088235294117647,1.661764705882353
"Architect, software or solutions",United States of America,Remote,66,20.984848484848484,1.7272727272727273,2.090909090909091
"Developer, full-stack",United States of America,"Your choice (very flexible, you can come in when you want or just as needed)",62,15.080645161290322,1.8387096774193548,2.1129032258064515
Student,United States of America,Unknown,62,4.235294117647059,2.0806451612903225,0.9032258064516129
"Developer, full-stack",United States of America,Unknown,62,18.721311475409838,1.9838709677419355,1.8225806451612903
"Developer, full-stack",Germany,"Hybrid (some in-person, leans heavy to flexibility)",60,13.767857142857142,1.8,1.5333333333333334
"Developer, full-stack",Germany,"Your choice (very flexible, you can come in when you want or just as needed)",60,11.847457627118644,2.1,1.5833333333333333
"Developer, full-stack",Canada,Remote,59,14.94915254237288,2.0338983050847457,1.9491525423728813
Student,Germany,Unknown,53,3.5714285714285716,2.0377358490566038,0.8113207547169812
"Developer, full-stack",Germany,Unknown,50,16.895833333333332,1.8,1.42
Student,India,Unknown,45,1.875,2.2888888888888888,1.2666666666666666
Engineering manager,United States of America,Remote,44,19.023255813953487,1.7272727272727273,2.0681818181818183
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,"Hybrid (some in-person, leans heavy to flexibility)",42,11.119047619047619,1.9761904761904763,1.5476190476190477
"Developer, front-end",United States of America,Remote,42,15.048780487804878,2.0,1.2857142857142858
Other (please specify):,United States of America,In-person,39,11.75,1.9743589743589745,1.1794871794871795
"Developer, back-end",Germany,Remote,38,11.91891891891892,2.1052631578947367,1.4473684210526316
"Developer, back-end",United States of America,"Hybrid (some remote, leans heavy to in-person)",38,13.842105263157896,2.026315789473684,1.631578947368421
"Developer, back-end",Canada,Remote,36,14.444444444444445,1.5833333333333333,1.7222222222222223
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,Remote,34,15.147058823529411,2.0294117647058822,1.588235294117647
"Developer, back-end",Germany,"Your choice (very flexible, you can come in when you want or just as needed)",33,15.212121212121213,1.9090909090909092,1.878787878787879
"Developer, full-stack",Brazil,Remote,32,9.419354838709678,1.90625,1.875
DevOps engineer or professional,United States of America,Remote,32,13.5,2.09375,1.6875
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,"Your choice (very flexible, you can come in when you want or just as needed)",31,13.225806451612904,1.903225806451613,2.096774193548387
"Developer, back-end",Germany,"Hybrid (some in-person, leans heavy to flexibility)",31,13.387096774193548,2.0,1.2580645161290323
"Developer, back-end",United States of America,"Hybrid (some in-person, leans heavy to flexibility)",30,16.5,1.9,1.8666666666666667
"Developer, back-end",United States of America,Unknown,30,21.357142857142858,1.9,1.8666666666666667
"Developer, back-end",Ukraine,Remote,29,6.620689655172414,1.6206896551724137,2.6206896551724137
Other (please specify):,United States of America,Unknown,28,19.652173913043477,1.8928571428571428,1.6071428571428572
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,Unknown,28,18.703703703703702,2.107142857142857,1.5714285714285714
"Developer, full-stack",Netherlands,"Hybrid (some remote, leans heavy to in-person)",27,10.307692307692308,1.9259259259259258,1.8518518518518519
"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,"Hybrid (some in-person, leans heavy to flexibility)",27,12.777777777777779,1.6296296296296295,1.4444444444444444
"Developer, full-stack",Netherlands,"Hybrid (some in-person, leans heavy to flexibility)",26,14.64,1.6923076923076923,1.6153846153846154
"Developer, mobile",United States of America,Remote,26,18.653846153846153,1.6538461538461537,1.5769230769230769
Student,France,Unknown,25,1.0,2.08,0.84
"Developer, back-end",United States of America,"Your choice (very flexible, you can come in when you want or just as needed)",25,13.48,1.76,2.16
Other (please specify):,United States of America,Remote,25,20.25,1.92,2.2
"Developer, full-stack",Australia,Remote,25,19.48,1.72,1.8
"Developer, full-stack",France,"Hybrid (some remote, leans heavy to in-person)",25,8.92,1.6,1.88
"Developer, back-end",Spain,Remote,25,10.88,1.6,1.84
"Developer, back-end",Brazil,Remote,25,11.76,1.68,2.28
"Developer, desktop or enterprise applications",United States of America,Remote,24,20.833333333333332,1.5833333333333333,1.4583333333333333
"Developer, back-end",Netherlands,"Hybrid (some in-person, leans heavy to flexibility)",24,13.166666666666666,2.0833333333333335,1.5
Student,Poland,Unknown,24,1.0,2.7083333333333335,0.7916666666666666
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,"Hybrid (some remote, leans heavy to in-person)",24,12.916666666666666,1.7083333333333333,1.0
Cloud infrastructure engineer,United States of America,Remote,23,17.956521739130434,1.6956521739130435,1.608695652173913
"Developer, full-stack",Spain,Remote,23,13.73913043478261,1.9565217391304348,1.2608695652173914
Academic researcher,Germany,"Hybrid (some remote, leans heavy to in-person)",22,8.590909090909092,1.7727272727272727,1.5454545454545454
"Architect, software or solutions",Germany,"Hybrid (some in-person, leans heavy to flexibility)",22,19.318181818181817,1.5454545454545454,1.3181818181818181
"Developer, full-stack",Switzerland,"Hybrid (some remote, leans heavy to in-person)",22,12.454545454545455,1.8636363636363635,1.9090909090909092
"Architect, software or solutions",Germany,Remote,22,17.227272727272727,1.5454545454545454,2.3181818181818183
"Developer, full-stack",France,Remote,22,10.363636363636363,1.8636363636363635,2.227272727272727
Data engineer,United States of America,Remote,21,14.380952380952381,2.238095238095238,2.5238095238095237
"Developer, full-stack",Canada,"Hybrid (some remote, leans heavy to in-person)",20,14.8,1.75,1.45
"Developer, full-stack",Germany,In-person,20,7.85,1.9,0.55
Student,Canada,Unknown,20,1.6666666666666667,2.45,1.3
"Developer, full-stack",Canada,"Your choice (very flexible, you can come in when you want or just as needed)",20,15.7,1.9,1.15
Student,United States of America,In-person,20,3.4,2.0,1.05
"Developer, full-stack",Poland,Unknown,20,11.333333333333334,1.75,1.3
"Developer, full-stack",Canada,Unknown,20,14.105263157894736,1.8,1.5
"Developer, full-stack",Poland,Remote,20,11.1,2.15,1.8
Engineering manager,United States of America,"Hybrid (some remote, leans heavy to in-person)",20,23.05,1.6,1.9
"Developer, back-end",Poland,Remote,20,10.7,2.1,1.8
