DevType,Country,RemoteWork,DeveloperCount,AvgWorkExperience,AvgFrustration,AvgAgentDepth
"Developer, full-stack",United States of America,Remote,131,15.946564885496183,36.908396946564885,2.9236641221374047
"Developer, back-end",United States of America,Remote,64,16.142857142857142,37.578125,3.203125
"Developer, full-stack",United States of America,"Hybrid (some remote, leans heavy to in-person)",50,11.84,38.9,2.92
"Developer, full-stack",Germany,"Hybrid (some remote, leans heavy to in-person)",36,6.361111111111111,30.0,2.4166666666666665
"Developer, full-stack",United States of America,Unknown,36,16.02857142857143,37.083333333333336,2.9444444444444446
"Developer, back-end",Ukraine,Remote,34,7.411764705882353,34.85294117647059,3.411764705882353
"Developer, full-stack",United States of America,In-person,33,9.6875,37.27272727272727,2.6666666666666665
"Developer, full-stack",United States of America,"Hybrid (some in-person, leans heavy to flexibility)",33,12.181818181818182,37.42424242424242,2.6363636363636362
"Developer, full-stack",Germany,Remote,32,15.0,37.96875,3.1875
"Architect, software or solutions",United States of America,Remote,30,21.733333333333334,32.166666666666664,3.033333333333333
"Developer, full-stack",United States of America,"Your choice (very flexible, you can come in when you want or just as needed)",29,13.03448275862069,30.17241379310345,3.7241379310344827
"Developer, full-stack",Canada,Remote,29,12.862068965517242,42.06896551724138,2.7586206896551726
"Developer, full-stack",Germany,Unknown,28,15.214285714285714,33.392857142857146,2.607142857142857
"Developer, full-stack",Germany,"Hybrid (some in-person, leans heavy to flexibility)",26,13.23076923076923,31.153846153846153,2.3846153846153846
"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,Remote,25,12.68,33.8,2.64
Engineering manager,United States of America,Remote,24,19.125,40.416666666666664,2.9166666666666665
"Developer, full-stack",Germany,"Your choice (very flexible, you can come in when you want or just as needed)",23,11.0,28.91304347826087,2.9130434782608696
Student,India,Unknown,22,1.25,51.59090909090909,2.272727272727273
Student,United States of America,Unknown,21,4.571428571428571,37.142857142857146,2.0952380952380953
