DevType,DeveloperCount,AvgUsageScore,AvgTrustScore,AvgFrustrationScore
"Developer, AI apps or physical AI",236,3.1440677966101696,3.3333333333333335,1.0466101694915255
AI/ML engineer,677,3.1816838995568686,3.1953290870488322,1.1624815361890695
Product manager,205,2.9170731707317072,3.172185430463576,1.0390243902439025
"UX, Research Ops or UI design professional",115,2.3391304347826085,3.112676056338028,1.191304347826087
Project manager,302,2.7218543046357615,3.0530973451327434,0.9635761589403974
Data or business analyst,351,2.5128205128205128,3.0198412698412698,1.0484330484330484
"Developer, mobile",1391,3.04097771387491,2.979431929480901,1.0992092020129403
"Developer, front-end",1974,3.102836879432624,2.9508196721311477,1.1803444782168186
"Founder, technology or otherwise",431,3.2946635730858467,2.919402985074627,1.1670533642691416
Data scientist,574,3.081881533101045,2.8950892857142856,1.3170731707317074
Data engineer,770,3.0441558441558443,2.8794567062818337,1.1805194805194805
Engineering manager,1068,3.1235955056179776,2.875598086124402,1.1310861423220975
"Developer, QA or test",343,2.883381924198251,2.8576923076923078,1.1107871720116618
"Senior executive (C-suite, VP, etc.)",528,3.321969696969697,2.8507109004739335,1.2234848484848484
"Architect, software or solutions",2684,3.1352459016393444,2.781073446327684,1.1277943368107302
"Developer, full-stack",12351,3.0323050765120234,2.7251270110076207,1.183143065338839
Database administrator or engineer,175,2.2285714285714286,2.716417910447761,1.0057142857142858
"Developer, back-end",6453,2.938478227181156,2.6554552912223133,1.1469084146908415
Student,3008,2.58843085106383,2.642761093679964,1.2952127659574468
Support engineer or analyst,251,2.318725099601594,2.624338624338624,1.0836653386454183
Cybersecurity or InfoSec professional,370,2.735135135135135,2.593525179856115,1.2162162162162162
DevOps engineer or professional,1053,3.040835707502374,2.5911799761620977,1.241215574548908
"Developer, desktop or enterprise applications",1919,2.655028660760813,2.548220064724919,1.013548723293382
System administrator,480,2.3020833333333335,2.5454545454545454,1.0625
Other (please specify):,1825,2.444931506849315,2.53397341211226,1.0794520547945206
Retired,458,1.965065502183406,2.4864130434782608,0.5545851528384279
Cloud infrastructure engineer,441,2.764172335600907,2.4658385093167703,1.0476190476190477
Academic researcher,1131,2.575596816976127,2.44988344988345,1.112290008841733
Applied scientist,297,2.531986531986532,2.3290598290598292,1.0909090909090908
"Developer, embedded applications or devices",1274,2.514128728414443,2.320474777448071,1.1106750392464677
"Developer, game or graphics",451,2.268292682926829,2.204022988505747,1.1352549889135255
