DevType,DeveloperCount,AvgUsageScore,AvgTrustScore,AvgFrustrationScore
"Developer, AI apps or physical AI",236,37.24046610169491,66.15646258503402,21.800847457627118
AI/ML engineer,677,36.9774741506647,63.35669781931463,23.07237813884786
Product manager,205,30.201219512195124,62.63227513227513,21.975609756097562
Project manager,302,28.526490066225165,60.20942408376963,20.066225165562916
Data or business analyst,351,25.071225071225072,59.59201388888888,24.586894586894587
"Founder, technology or otherwise",431,37.54930394431555,58.86824324324324,18.63109048723898
"UX, Research Ops or UI design professional",115,25.554347826086957,58.6021505376344,28.652173913043477
"Developer, mobile",1391,30.510424155283967,58.3610495195861,24.57943925233645
"Developer, front-end",1974,30.448328267477205,58.06130573248409,25.139311043566362
"Senior executive (C-suite, VP, etc.)",528,37.55918560606061,57.53038194444445,18.81628787878788
Engineering manager,1068,32.916666666666664,57.25436179981635,21.282771535580526
Data scientist,574,31.40897212543554,56.876606683804624,23.057491289198605
Database administrator or engineer,175,20.442857142857143,55.72289156626505,21.2
"Developer, QA or test",343,27.707725947521865,55.00764525993884,23.279883381924197
Data engineer,770,30.160714285714285,54.97017892644135,22.974025974025974
Retired,458,15.783296943231441,54.77582846003898,8.16593886462882
"Architect, software or solutions",2684,32.11251862891207,54.557077625570805,21.1698956780924
"Developer, full-stack",12351,29.85244109788681,53.327905131738326,22.411545623836126
Support engineer or analyst,251,22.470119521912352,51.232394366197184,23.08764940239044
Other (please specify):,1825,23.53698630136986,50.89135553313152,20.575342465753426
Cybersecurity or InfoSec professional,370,28.114864864864863,50.77683615819208,22.364864864864863
"Developer, back-end",6453,28.092166434216644,50.75275397796817,22.669301100263443
DevOps engineer or professional,1053,29.4017094017094,50.700483091787454,21.74264007597341
System administrator,480,22.231770833333332,50.4,20.052083333333332
Student,3008,25.428025265957448,50.014551804423746,25.709773936170212
Academic researcher,1131,24.9790008841733,49.512820512820525,20.583554376657826
"Developer, desktop or enterprise applications",1919,23.831422615945804,49.164448388050864,19.424179260031266
Cloud infrastructure engineer,441,26.541950113378686,47.667910447761194,20.226757369614514
Applied scientist,297,24.32239057239057,47.51461988304094,19.410774410774412
"Developer, embedded applications or devices",1274,21.889717425431712,43.772401433691755,18.524332810047095
"Developer, game or graphics",451,19.6119733924612,40.59139784946235,19.66740576496674
